Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
56,9.0,5.2086,8.9999,8.9999,9.0,8.9997,7.113,8.9934,8.9997,33.6471,8.6699,27.7928,27.3682,251.0743,70.8095,7.0491,76.5453,5.9725,0.3677,5
57,9.0,5.2569,9.0,8.9998,9.0,8.9997,7.1317,8.9934,8.9986,33.3913,8.978,27.7677,27.1828,249.5578,71.0813,7.0704,76.4461,6.0056,0.3661,5
58,9.0,5.0505,9.0,8.9998,9.0,9.0,7.1333,8.9934,9.0,34.2736,8.927,27.8652,27.2003,249.336,71.0906,7.068,76.4465,5.6605,0.3704,5
59,9.0,5.0505,9.0,8.9998,9.0,9.0,7.218,8.9934,9.0,34.1171,10.3203,27.9109,26.4769,242.347,72.3381,7.1591,76.0273,5.4396,0.3677,5
60,9.0,5.0505,9.0,8.9998,9.0,9.0,7.2391,8.9934,9.0,34.0776,10.6902,27.9227,26.2955,240.595,72.6552,7.1823,75.9214,5.3845,0.367,5
61,9.0,5.0505,9.0,8.9998,9.0,9.0,7.2551,8.9934,9.0,34.0473,10.9778,27.9315,26.1572,239.2603,72.8981,7.2,75.8406,5.3426,0.3664,4
62,9.0,5.0505,9.0,8.9998,9.0,9.0,7.3075,8.9934,9.0,33.9479,11.9541,27.9607,25.7044,234.8899,73.7007,7.2585,75.5746,5.2059,0.3646,4
63,9.0,5.1185,9.0,8.9998,9.0,9.0,7.407,8.9934,9.0,33.4784,14.0047,27.994,24.8382,226.5632,75.2734,7.3741,75.0602,5.0468,0.3597,4
64,9.0,5.0031,9.0,8.9998,9.0,9.0,7.4996,8.9934,9.0,33.7618,16.0389,28.0872,24.0245,218.6727,76.7766,7.4815,74.5704,4.6397,0.3593,4
65,9.0,7.9653,9.0,8.9999,9.0,8.9999,6.8339,8.9934,9.0,17.6069,6.3989,26.0848,29.6942,275.7618,67.3459,6.8662,77.8603,17.565,0.3574,6
66,9.0,7.9794,9.0,9.0,9.0,8.9999,6.8395,8.9975,9.0,17.4985,6.4755,26.0467,29.6489,274.8006,67.5151,6.8712,77.8362,17.6407,0.3571,6
67,9.0,7.9693,9.0,9.0,9.0,8.9999,6.8406,8.9975,9.0,17.5703,6.4808,26.0554,29.6403,274.7052,67.527,6.8717,77.8314,17.5639,0.3571,6
68,9.0,7.9693,9.0,9.0,9.0,8.9999,6.8406,8.9975,9.0,17.5703,6.4808,26.0554,29.6403,274.7054,67.527,6.8717,77.8315,17.5639,0.3571,6
69,9.0,7.9617,9.0,9.0,9.0,8.9999,6.8406,8.9975,9.0,17.6248,6.4753,26.0615,29.6403,274.6966,67.5256,6.8713,77.8319,17.5102,0.3571,6
