Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
91,6.4815,5.861,8.7133,7.6048,7.9022,5.3907,7.7229,8.7966,6.3911,7.5713,25.9903,0.3286,0.3613,3.5161,59.4168,1.7756,32.6409,1.4895,2.2472,1
92,5.4218,5.8601,8.9447,7.9485,8.1081,8.8218,5.2825,5.6616,5.639,11.1185,1.7469,11.1845,3.1857,92.0909,7.2988,6.1564,44.6501,4.8075,1.9097,1
93,7.0334,5.3955,5.7195,6.4167,5.6164,8.3541,8.7485,5.7881,7.3648,13.6271,112.7197,19.6772,0.1634,1.7813,35.2761,7.5852,6.7713,0.6025,2.016,2
94,8.6611,5.46,5.1035,6.5619,7.0076,5.7945,6.5427,5.3796,7.3767,13.5447,13.8148,6.667,3.1401,304.0139,13.4138,1.5841,12.5081,4.7478,2.0104,2
95,5.664,6.1034,8.5833,6.0585,8.2763,6.1774,7.3723,7.8402,8.7034,19.9341,15.6338,10.6861,14.7925,3.2035,36.8863,1.6952,27.0371,1.9984,1.9734,2
96,5.907,5.8226,6.5638,6.1063,8.0728,8.6489,6.4413,5.5093,7.2434,16.3877,5.4799,19.4084,4.5406,79.4491,9.9683,5.7563,13.32,3.3221,1.9685,1
97,8.1646,6.8702,8.9995,6.7933,7.2094,5.4305,5.4315,5.8588,5.037,3.6332,0.9583,0.5442,0.1896,272.2418,9.0589,1.1631,36.2016,9.3861,2.215,1
98,6.4978,7.9255,6.1576,7.7261,8.8191,8.6325,5.922,5.7447,5.0515,3.3148,1.6915,7.1055,0.6952,205.4103,10.1105,6.2662,19.6418,14.0142,2.055,1
99,6.6547,5.9011,6.4875,6.9562,6.0414,7.2118,7.5855,8.584,6.6732,9.4494,37.2912,2.3729,0.5315,23.8164,51.4922,3.4461,12.7732,1.1862,2.1808,1
100,5.081,8.0015,7.5383,7.8838,8.6691,8.4643,7.4203,7.1315,5.5348,2.7928,17.7358,5.3715,0.2402,13.712,29.5866,6.7964,24.2079,7.4507,2.0937,0
