Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
76,8.9589,8.9794,8.9045,8.9987,8.9843,8.9988,8.9938,5.0141,8.9982,7.7828,99.6912,47.5596,10.8335,367.2685,49.4344,10.9032,63.3675,13.4635,0.0812,5
77,8.8495,8.8833,8.9329,8.9982,8.999,8.999,8.7868,5.0681,8.9872,8.5938,81.645,47.0653,12.709,372.3831,45.5582,10.4701,64.83,13.7341,0.0473,6
78,8.9763,8.8861,8.9329,8.9987,8.999,8.999,8.635,5.0656,8.9872,8.7733,71.5016,46.9124,13.7374,428.4367,43.2545,10.179,66.3441,15.1384,0.05,6
79,8.998,8.8855,5.355,8.994,8.9997,8.9899,8.814,5.0626,8.9986,8.8565,102.3507,47.2547,12.4808,406.017,45.9737,10.8146,32.3922,14.8345,0.1716,6
80,8.9179,8.9795,8.7733,8.9984,8.9714,8.9998,8.9922,5.0703,8.9476,7.5194,100.4864,46.4214,10.254,352.7318,49.5149,10.9436,60.8891,13.3552,0.0988,5
81,8.9758,8.9367,8.9052,8.9999,8.9932,8.9971,8.9812,5.0476,8.993,8.028,98.4125,47.3613,10.835,373.3109,49.435,10.8658,63.542,13.2874,0.0738,5
82,8.9758,7.9672,8.9052,8.9988,8.9932,8.9971,8.9812,5.0194,8.993,14.1432,95.156,48.6512,10.8308,373.1789,49.0841,10.7988,63.5239,7.4697,0.0907,6
83,8.9605,8.9966,8.9746,8.9977,8.112,8.9663,7.9836,5.0675,8.989,8.3766,42.9808,46.695,19.6258,374.9843,33.548,8.9337,69.4744,17.955,0.1719,4
84,8.9993,7.9698,8.99,8.9985,8.7738,8.729,8.9658,6.3848,8.9311,13.0226,95.8546,38.7082,10.0375,269.2481,60.2185,9.4957,64.2412,7.1569,0.1281,4
85,8.9994,8.0465,5.5861,8.9985,8.8402,8.991,8.9977,5.0157,8.9433,13.4366,117.0848,47.7541,10.1423,351.4805,48.9089,11.1613,32.1268,8.0842,0.1875,5
86,8.9977,8.9219,8.8873,8.9975,8.936,9.0,8.9991,5.2694,8.8864,7.4862,100.8884,44.7454,9.2211,355.3052,51.0996,10.9453,62.5337,12.9878,0.1168,5
87,8.9939,8.9925,8.9681,8.9919,8.9923,8.9071,8.6259,5.0,8.9494,7.7681,71.1767,44.8341,13.1536,436.9845,42.6951,9.8069,66.6755,16.1159,0.0831,5
88,8.9948,8.9925,8.9679,8.9919,8.9923,8.9092,8.6259,5.0899,8.9494,7.7721,71.1759,44.5971,13.1507,432.573,43.227,9.8056,66.678,16.1156,0.0835,5
89,8.9939,8.9993,5.048,8.9919,8.9923,8.9071,8.6259,5.0056,8.9496,7.9981,88.6689,44.8753,13.3876,436.7095,42.2601,10.1526,31.8252,17.0706,0.184,6
90,8.9447,8.9816,8.7968,8.9919,8.9931,8.9994,8.1593,5.003,8.8459,7.9836,45.2605,43.8267,15.6501,495.808,35.2862,9.4517,66.1641,18.9774,0.1637,4
91,8.9445,8.8779,5.1106,8.9974,8.9916,8.9995,8.1593,5.0031,8.9174,9.2974,57.8936,45.3755,17.1123,495.2406,35.0014,9.7248,34.0135,18.9012,0.188,3
92,8.9445,8.916,5.1106,8.9974,8.9916,8.887,8.1593,5.0031,8.9173,8.8702,58.007,43.6508,17.1077,495.3149,35.0043,9.275,33.9661,19.2439,0.1931,3
93,8.9816,8.8391,5.5682,8.9975,8.921,8.998,8.9661,5.904,8.999,8.9048,115.8127,44.7081,11.207,318.3498,55.1716,11.0357,32.4643,13.168,0.1737,5
94,8.9811,8.8444,8.9526,8.9975,8.921,8.998,8.8696,5.8747,8.999,8.7452,89.3042,44.6598,11.8408,334.1875,53.4636,10.511,64.9788,13.0944,0.048,5
95,8.9982,8.8444,8.9803,8.9974,8.921,8.9979,8.8696,5.7549,8.999,8.7389,89.2059,45.1315,11.7989,345.5835,52.4903,10.5243,65.5,13.145,0.0469,6
96,8.9806,8.963,8.9526,8.9978,8.9176,8.998,8.8696,5.0145,9.0,8.0143,89.8507,47.5505,11.8632,380.9929,47.1411,10.6315,64.975,14.0421,0.0664,5
97,8.875,8.8768,8.9526,8.9076,8.8575,8.9998,8.9893,5.9389,8.9993,8.3565,99.7881,44.5561,10.6818,280.0008,55.7339,10.6998,62.0866,12.07,0.0717,5
98,8.9855,8.9062,8.9995,8.948,8.9888,8.9441,8.5461,5.2066,8.9855,8.654,65.5746,45.4776,14.2224,435.4665,42.4712,9.7346,67.1278,15.8217,0.0722,5
99,8.9855,8.9062,8.9995,8.948,8.9888,8.9441,8.5461,5.2066,8.9855,8.654,65.5746,45.4776,14.2224,435.4665,42.4712,9.7346,67.1278,15.8217,0.0722,5
100,8.7408,8.9976,5.2171,9.0,8.9915,8.9873,8.4457,5.2082,8.9999,8.6583,74.2138,46.2683,16.5126,388.4391,40.016,10.1052,32.9561,17.3603,0.1715,5
