Iteration,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Y,Fitness,Nc
31,4.8253,2.1482,4.1259,0.729,0.4809,4.7321,4.4409,0.9039,2.2296,48.6202,55.1105,63.0755,67.0534,80.332,137.4534,90.862,39.2205,27.3656,0.2981,0.2801,3
32,3.1237,1.8485,4.7248,4.1807,1.0188,0.1241,1.5006,3.7114,2.187,30.4515,62.2262,27.8217,60.2631,89.6842,83.7044,85.645,49.5536,58.2929,0.236,0.2977,2
33,3.0724,3.2755,4.4361,1.0652,4.5021,2.2725,3.0472,3.4014,4.5058,65.1167,86.4244,39.4167,57.4525,52.3467,68.8619,116.5278,63.8617,60.9798,0.2588,0.2547,4
34,3.6627,0.2891,3.3876,1.8311,1.9812,2.5926,0.0225,1.9811,4.4023,23.5324,72.5062,35.6429,57.049,46.6695,113.9372,78.8155,67.4282,42.2041,0.2724,0.3547,5
35,4.6293,3.1584,4.9214,0.0207,4.8246,4.3263,3.1288,0.69,2.0839,63.5775,56.4882,51.191,84.48,92.415,93.3469,105.6968,20.3545,31.0233,0.32,0.3281,3
36,2.4463,3.3995,2.2245,1.3525,3.1677,0.3584,3.924,3.1293,4.8643,61.6453,82.3147,43.5202,55.7246,32.878,71.7776,93.7555,94.871,72.5879,0.2553,0.2825,5
37,1.7833,0.7553,4.9887,3.867,0.1042,3.3551,1.2086,2.787,1.5588,33.3403,52.3801,28.7181,78.2702,82.3047,112.6447,95.5068,33.6891,31.4294,0.3796,0.3731,3
38,0.6196,3.1948,2.7913,4.9223,3.2112,1.3238,1.5172,0.9314,4.08,39.4803,37.6903,37.537,101.9214,47.2615,68.3559,55.2958,87.0306,60.7101,0.4134,0.3435,2
39,4.6104,1.3981,1.4569,2.466,1.5818,2.7801,0.0497,0.5246,2.6845,23.6712,58.7236,47.9961,79.6819,87.1506,123.3413,53.4729,67.3775,46.8047,0.2989,0.2932,3
40,0.3749,4.1146,2.3375,0.8296,2.8674,2.0623,4.7911,0.5962,0.5804,82.1967,46.3214,41.3,96.1351,69.592,68.7507,100.7807,52.1438,54.2353,0.3641,0.2619,3
41,2.8188,3.9286,3.1612,3.0655,1.3324,2.8018,3.3584,0.9351,0.273,53.7324,42.6848,50.7069,100.9623,87.9721,96.885,84.5646,53.0828,52.4752,0.2651,0.2157,3
42,3.1788,3.8803,2.6516,1.9786,4.2293,3.5051,4.7015,3.7774,0.971,79.9814,61.0599,52.4624,66.8548,87.9292,62.9863,85.1008,53.0152,60.0393,0.2157,0.1899,3
43,3.8849,3.9994,3.7582,2.1054,0.7801,3.2859,4.655,1.5844,2.1325,57.605,47.5105,57.9419,75.0137,73.4669,94.9812,92.0692,49.3041,50.9109,0.2227,0.2096,2
44,4.5773,1.2495,2.1385,0.5999,3.6957,2.1415,4.6453,0.802,2.4421,65.7151,60.1246,42.2088,67.1955,80.0698,80.3882,74.5801,59.5676,51.5378,0.1817,0.2093,2
45,4.4345,1.5728,2.065,0.1922,4.1625,4.699,0.5671,3.1477,1.4761,40.4838,68.2923,51.8871,68.2981,99.174,120.0452,62.027,44.1748,32.3064,0.2486,0.2721,2
46,3.3616,2.093,2.2195,4.0447,1.4479,2.7174,2.6129,0.6507,2.986,32.0843,41.0078,44.7439,86.748,67.8384,101.2064,49.766,72.9317,48.488,0.3379,0.3172,3
47,1.0159,1.6968,3.6364,3.8597,2.565,0.3696,2.3859,1.9455,0.588,45.7918,42.7071,19.5566,87.8548,80.5318,72.6997,77.328,45.5552,46.5257,0.3405,0.3475,2
48,0.4003,0.6738,1.998,0.8905,1.6084,3.542,0.8611,1.8503,2.0306,39.2413,61.1728,30.9735,83.5229,67.5832,125.3697,81.53,51.18,28.2746,0.3475,0.3383,3
49,3.9178,4.1695,4.9145,3.2307,3.0718,3.416,0.6553,2.3741,3.9014,35.0629,58.9844,55.1859,78.4146,67.2309,95.9204,95.635,51.7639,52.061,0.2641,0.2402,3
50,2.2983,0.1521,0.2373,4.2111,0.5386,3.267,0.178,0.0128,3.7579,15.8811,38.2371,39.0249,83.7206,44.3186,113.1002,32.9093,80.7748,37.4205,0.4698,0.4552,3
51,1.4905,3.0394,4.7256,3.5591,0.2071,1.0965,4.3185,4.4889,4.8017,55.5659,85.0709,39.7778,35.0954,35.7182,74.541,113.7015,84.6893,73.6534,0.3184,0.3086,4
52,4.1309,3.1227,1.1212,1.9126,3.7682,4.7211,2.4299,4.504,0.7288,48.7536,74.2426,62.9779,58.4009,106.0811,109.9044,60.3858,57.8274,50.9505,0.1466,0.1549,4
53,2.2747,4.8442,0.688,1.1946,2.9586,3.7741,4.1875,3.8643,3.4994,67.8407,70.4037,67.1369,67.2156,56.7392,85.7094,85.3424,82.0769,68.3321,0.1644,0.1582,5
54,2.84,1.7032,4.9436,1.8973,2.6997,3.6563,4.3845,0.582,4.199,58.8023,59.5664,39.3146,64.9507,35.4158,100.9891,113.4528,48.0924,30.585,0.3216,0.3491,3
55,1.1734,3.9051,0.8729,3.7099,2.8238,3.4719,2.7082,4.3299,4.3293,45.5182,69.919,56.7932,61.5933,45.5106,85.9096,61.7247,98.7823,69.3542,0.2229,0.2312,2
56,2.5559,1.006,2.8042,4.9059,2.8383,2.5211,2.8869,3.1348,0.7431,46.3674,43.3795,36.5685,86.515,95.6361,81.1204,51.1103,67.0139,55.3243,0.274,0.2727,2
57,3.7549,1.8829,4.856,4.4958,2.1615,0.1487,3.335,1.7269,2.9869,38.3854,42.776,31.8738,72.1794,73.0211,71.3718,78.105,51.7854,53.6855,0.2952,0.3133,2
58,4.5717,4.7154,0.8383,1.7322,3.4815,0.8275,4.8805,3.2379,3.81,71.9331,72.7685,67.781,61.3803,70.9727,58.493,78.1207,94.0483,91.1872,0.213,0.1684,6
59,1.4958,1.1001,2.3073,4.895,4.2403,2.362,3.3002,0.2832,1.4339,55.0851,22.1792,26.8958,102.3284,74.2051,54.5796,41.2104,59.6946,44.4165,0.4283,0.4107,1
60,1.5261,0.8938,3.6002,1.9409,3.0171,0.119,4.5451,3.7909,1.9239,72.1242,73.2931,21.0083,50.2018,73.2435,63.7291,103.8758,51.8382,56.2079,0.2771,0.3025,3
61,1.7938,1.1404,0.3027,4.4438,0.233,2.9292,3.8802,1.8354,3.0141,40.7979,35.7708,40.8304,80.5002,52.6535,93.6403,41.0112,82.599,47.3456,0.3656,0.3541,2
62,2.8915,1.9934,1.0542,1.9383,4.885,3.0944,3.0386,1.1207,3.9313,62.8986,61.0834,39.4009,83.6004,52.2297,76.7485,68.3405,74.1837,46.5033,0.27,0.2733,3
63,0.5726,1.1891,4.6138,1.0562,3.8975,1.9334,4.017,3.864,3.9299,70.2928,84.7376,20.0804,42.1339,45.2895,64.9135,122.6543,51.9601,49.7091,0.3765,0.3587,3
64,3.5537,1.0455,1.4208,0.8447,4.8995,3.333,2.9721,1.0892,1.96,66.3303,60.1528,37.5131,88.7306,86.1946,85.8701,71.8981,53.2043,39.7781,0.2518,0.2506,2
65,2.9955,2.0624,3.8835,4.4471,3.644,2.2784,3.8885,1.3325,4.4039,47.5486,40.8034,36.894,71.7168,36.559,61.1585,63.0654,73.4841,51.3639,0.3346,0.3566,2
66,2.2171,2.6604,3.6209,3.6242,1.398,0.9382,0.1405,3.6841,3.2661,32.2322,69.4833,32.8913,64.2332,71.2175,88.6512,82.0622,68.6964,62.5303,0.2048,0.2719,3
67,4.3541,1.3216,0.0847,2.4013,1.1645,2.8959,3.4482,1.9416,3.8897,34.5407,64.1278,52.0527,59.9597,58.5887,113.8854,54.4366,85.2819,52.6526,0.2662,0.2642,3
68,3.0352,4.3145,0.1614,4.1294,4.4462,0.4652,2.4362,2.3061,2.5447,52.6384,38.7604,45.0479,95.6181,78.9594,39.8173,44.755,75.2886,74.1433,0.344,0.3248,3
69,4.8835,3.828,4.2422,4.5026,2.8152,1.97,0.7103,0.1988,1.9998,25.0204,32.921,51.3684,93.0729,99.8622,78.5106,56.3919,48.7466,59.2694,0.3314,0.3222,1
70,0.1532,2.7225,2.7408,2.7661,4.7826,0.3199,0.1245,1.0628,4.2731,54.2749,60.3922,24.0139,90.4313,42.6479,58.1546,81.3357,71.9183,53.7519,0.3281,0.3434,3
71,4.1176,3.5022,0.9917,4.0306,1.7848,4.5401,4.2179,3.574,0.5051,44.6257,40.4614,70.2609,69.3167,91.5763,102.3071,37.3203,67.5662,53.1518,0.2225,0.2553,3
72,4.2998,0.4081,0.1472,1.4579,2.8347,1.8837,4.9706,0.6724,2.7399,63.936,58.5162,43.333,65.8136,71.1119,86.1422,66.8892,72.5244,54.1217,0.1908,0.2115,3
73,4.65,0.3682,2.6674,2.9251,3.2273,1.4733,2.7277,4.528,2.4056,43.9488,87.3923,41.3383,40.3819,106.2965,85.0046,67.9203,71.8163,71.9827,0.1829,0.2116,3
74,3.0873,0.8169,0.5277,3.5522,2.6232,1.3218,3.2505,3.2935,0.552,51.3415,60.4332,35.0702,73.629,97.3011,83.4568,57.7213,72.0573,62.1022,0.198,0.2217,2
75,4.283,3.4191,4.066,1.9384,4.0208,0.9014,1.8921,3.2164,0.5511,51.1916,68.1306,36.3698,69.078,108.7457,66.0116,93.0339,36.8533,62.4292,0.239,0.262,3
76,3.1294,0.3908,4.4575,0.7841,0.9799,2.3621,3.4952,1.5299,1.0497,54.3691,65.111,29.4883,74.3037,86.6081,110.6797,114.5195,33.7825,36.7221,0.3242,0.3164,3
77,2.2168,4.5873,1.4577,2.3997,1.597,4.0389,2.9356,3.165,4.9889,42.7256,69.4135,70.6862,69.8792,26.5549,111.3858,76.4775,99.6723,61.8246,0.2513,0.27,4
78,4.966,4.9504,3.0766,1.8224,2.3555,1.8782,3.3673,3.8711,4.4387,44.8633,84.6012,72.7607,48.2396,69.2119,82.7915,86.5165,89.579,89.4357,0.2111,0.1499,4
79,4.6594,3.616,4.3509,1.4805,0.1152,0.737,0.023,4.7067,0.4608,33.5897,92.8972,46.0406,42.8846,122.5661,98.394,104.6654,45.4879,74.9523,0.2693,0.2401,5
80,0.94,3.6059,4.7601,4.343,2.3954,1.5225,4.1026,1.7103,0.0958,60.8921,29.2555,31.2006,92.9951,75.8966,55.939,93.6423,37.6417,51.4738,0.386,0.3646,3
81,1.1542,3.5146,3.7738,4.2685,4.6162,0.71,1.0798,2.2194,0.4188,56.5091,37.7518,25.0737,104.1883,90.3964,41.9461,74.5969,43.7266,56.7089,0.3628,0.3591,1
82,4.9693,4.6526,4.4172,1.9994,1.7102,3.7604,2.4518,2.3723,2.8246,36.3259,60.2363,70.5405,74.609,89.7738,112.4419,93.5267,46.818,55.5643,0.2251,0.1915,3
