Iteration,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,weighted_sum,Fitness,Nc
31,0.7231,0.7724,0.5508,0.465,0.4607,0.4004,0.6869,0.7393,0.9928,0.18686,0.217228,0.265849,0.10037,0.139315,0.147382,0.232383,0.682994,0.901858,0.3734,0.2926,5
32,0.9885,0.4946,0.6666,0.9606,0.8214,0.6172,0.9802,0.5575,0.9787,7.4e-05,4e-05,0.001352,0.000935,0.002911,0.02702,0.023172,0.014162,1.229799,0.0746,0.9207,1
33,0.472,0.5274,0.5184,0.5511,0.614,0.5824,0.6812,0.6138,0.9878,0.383482,0.253839,0.408672,0.359233,0.471416,0.439553,0.434545,0.498031,0.421718,0.5513,0.1762,6
34,0.7014,0.7574,0.6333,0.6352,0.4357,0.6395,0.9323,0.868,0.6628,0.011158,0.04396,0.219865,0.168647,0.088226,0.22093,0.264831,0.580251,0.713728,0.2841,0.3048,3
35,0.4863,0.4057,0.4403,0.66,0.658,0.4082,0.7598,0.4072,0.9768,0.3624,0.09817,0.481159,0.16512,0.516059,0.665968,0.330666,0.298557,0.45312,0.5227,0.2474,6
36,0.5757,0.7143,0.6816,0.906,0.8827,0.7567,0.7705,0.5783,0.793,0.012001,0.008434,0.022494,0.03586,0.123021,0.473918,0.436829,0.666269,0.546566,0.2172,0.4623,2
37,0.4465,0.5382,0.5313,0.551,0.644,0.5672,0.6772,0.6219,0.9859,0.364775,0.251727,0.393844,0.331983,0.509605,0.437031,0.451175,0.520857,0.387841,0.4703,0.1841,7
38,0.4826,0.5211,0.5488,0.5693,0.6286,0.5982,0.6616,0.6133,0.9871,0.363045,0.240312,0.355255,0.35668,0.478697,0.459004,0.483433,0.477925,0.439073,0.5703,0.1744,7
39,0.4649,0.5319,0.5479,0.5842,0.6117,0.5911,0.6919,0.6261,0.992,0.344982,0.248208,0.394352,0.352969,0.449133,0.475192,0.484915,0.500609,0.404637,0.4988,0.1817,7
40,0.5789,0.6324,0.5737,0.6301,0.8103,0.9435,0.9819,0.47,0.5156,0.001119,0.000982,0.046376,0.251295,0.42614,0.357331,0.342631,0.504409,0.504368,0.3358,0.5084,3
41,0.468,0.5275,0.5194,0.5631,0.6287,0.622,0.6659,0.6315,0.9798,0.346386,0.249579,0.363826,0.387188,0.490392,0.450827,0.431146,0.494136,0.418419,0.5359,0.1785,6
42,0.4506,0.5129,0.5374,0.5609,0.6024,0.604,0.651,0.6047,0.9806,0.401097,0.255037,0.372203,0.38345,0.454148,0.454918,0.474248,0.464306,0.384807,0.5225,0.1975,7
43,0.823,0.7462,0.6089,0.9442,0.4121,0.6751,0.4664,0.9735,0.6855,0.002099,0.033151,0.01204,0.031451,0.012803,0.265305,0.178504,0.394195,0.901918,0.1839,0.6371,2
44,0.6662,0.6429,0.6003,0.7056,0.9433,0.6751,0.9685,0.6516,0.4228,0.000988,0.002823,0.049228,0.04392,0.357652,0.36843,0.328552,0.459777,0.652281,0.2724,0.5366,2
45,0.5203,0.404,0.4268,0.6773,0.677,0.4052,0.784,0.4016,0.9872,0.316067,0.081192,0.462059,0.152962,0.520634,0.696396,0.313411,0.280997,0.511029,0.4925,0.2461,6
46,0.4,0.5355,0.5497,0.4467,0.5684,0.6497,0.5831,0.9054,1.0,0.145232,0.524722,0.317845,0.492995,0.44803,0.301998,0.496796,0.535378,0.310862,0.475,0.217,6
47,0.4,0.5056,0.5383,0.4697,0.6008,0.6709,0.5997,0.9287,1.0,0.107159,0.497353,0.322873,0.512845,0.502151,0.338893,0.491312,0.481013,0.310862,0.5488,0.2217,6
48,0.4114,0.5239,0.548,0.4601,0.6017,0.6945,0.6034,0.8916,0.9999,0.154947,0.457481,0.306527,0.530646,0.495182,0.319003,0.502986,0.497255,0.326241,0.4297,0.2144,6
49,0.4752,0.5846,0.8769,0.5438,0.6145,0.6084,0.9127,0.9173,0.7482,0.009153,0.048118,0.179035,0.122905,0.147369,0.131675,0.804822,0.500976,0.376191,0.2683,0.3525,3
50,0.4131,0.849,0.5342,0.4835,0.8133,0.4181,0.5156,0.5066,0.8569,0.147761,0.069721,0.07937,0.054778,0.333908,0.147402,0.196623,0.988483,0.294818,0.2076,0.4078,4
51,0.4,0.51,0.5622,0.4421,0.5814,0.6791,0.5861,0.9531,1.0,0.078587,0.509107,0.313565,0.535729,0.470919,0.293145,0.52545,0.481013,0.310862,0.4608,0.228,6
52,0.4738,0.5063,0.5252,0.5738,0.6359,0.6097,0.6852,0.5863,0.972,0.345882,0.21145,0.37723,0.366991,0.498723,0.46539,0.449963,0.456145,0.415189,0.5155,0.1887,6
53,0.4,0.5509,0.5397,0.4775,0.5984,0.6546,0.6051,0.9461,1.0,0.07642,0.495069,0.331422,0.469697,0.48389,0.341891,0.476067,0.553892,0.310862,0.5582,0.2098,6
54,0.4,0.5299,0.5816,0.4812,0.5985,0.6552,0.6074,0.9285,1.0,0.101621,0.471649,0.319208,0.471888,0.473782,0.334749,0.551946,0.517052,0.310862,0.5266,0.2154,6
55,0.4947,0.564,0.5397,0.6132,0.5924,0.4921,0.6726,0.5731,1.0,0.404204,0.226282,0.394255,0.240951,0.398261,0.506765,0.452796,0.549603,0.460338,0.4735,0.1506,7
56,0.9104,0.9314,0.7957,0.9657,0.6583,0.6845,0.9768,0.94,0.5098,7e-06,9.9e-05,0.001614,0.001436,0.001764,0.029978,0.047443,0.260793,0.963862,0.0727,0.8766,1
57,0.4859,0.9464,0.7388,0.5517,0.5385,0.6776,0.6493,0.4598,0.6913,0.028944,0.014691,0.035209,0.050775,0.037692,0.043854,0.111383,0.952006,0.381565,0.1909,0.5955,2
58,0.9456,0.9738,0.8125,0.472,0.5794,0.9446,0.6322,0.6382,0.8074,0.000656,0.000573,0.000687,0.006367,0.00378,0.002711,0.013294,0.166495,1.08327,0.1941,0.8959,1
59,0.8686,0.4668,0.9281,0.6122,0.7433,0.9518,0.507,0.7569,0.5641,0.001643,0.004445,0.002442,0.039828,0.046826,0.040874,0.34381,0.127182,0.931314,0.1901,0.7459,1
60,0.4,0.5318,0.5464,0.4559,0.5798,0.6639,0.6393,0.9344,1.0,0.103772,0.481635,0.369436,0.502315,0.463937,0.317644,0.500842,0.517052,0.310862,0.4556,0.2171,6
61,0.7539,0.874,0.4888,0.5726,0.596,0.414,0.9512,0.4043,0.8032,0.021257,0.006464,0.16839,0.046066,0.112011,0.117027,0.094897,0.641683,0.842581,0.3475,0.4941,3
62,0.4,0.5382,0.5489,0.4964,0.5743,0.6832,0.5828,0.9343,1.0,0.105859,0.49132,0.29341,0.516989,0.435786,0.369528,0.496796,0.535378,0.310862,0.5045,0.2121,7
63,0.5242,0.869,0.6878,0.9419,0.5409,0.7938,0.6743,0.4052,0.7758,0.014633,0.004844,0.015797,0.036366,0.021583,0.263972,0.249011,0.911806,0.444395,0.2949,0.5947,1
64,0.583,0.5096,0.9498,0.9909,0.4297,0.9805,0.4016,0.5762,0.8086,0.000177,0.00012,6.1e-05,0.003961,0.001186,0.132457,0.858519,0.376076,0.552616,0.1257,0.7863,1
65,0.4,0.5391,0.5511,0.4661,0.6084,0.6653,0.5861,0.9329,0.9612,0.099812,0.46679,0.290657,0.475769,0.485661,0.31829,0.481534,0.518931,0.301313,0.4252,0.2205,6
66,0.4984,0.6075,0.5209,0.6434,0.581,0.4547,0.6675,0.5653,1.0,0.382692,0.214239,0.373273,0.189631,0.353974,0.526461,0.396895,0.637219,0.478354,0.5069,0.1398,6
67,0.936,0.6382,0.6385,0.4485,0.75,0.43,0.4305,0.9176,0.8315,0.015061,0.069322,0.021338,0.022271,0.09476,0.040363,0.096774,0.120958,1.090416,0.2128,0.6449,2
68,0.4,0.5468,0.5064,0.4519,0.5904,0.6844,0.587,0.94,1.0,0.093077,0.503375,0.3116,0.53237,0.487936,0.308993,0.427725,0.553892,0.310862,0.5722,0.2139,5
69,0.4431,0.5419,0.5332,0.461,0.5919,0.6709,0.5906,0.941,1.0,0.092373,0.499569,0.309244,0.506194,0.475399,0.315609,0.456826,0.527381,0.374301,0.5531,0.191,6
70,0.7255,0.5372,0.6314,0.6512,0.7277,0.5877,0.8588,0.4417,0.5027,0.031907,0.026167,0.201589,0.133741,0.285279,0.300374,0.350659,0.29611,0.742689,0.3031,0.2061,4
71,0.4124,0.5865,0.5432,0.4494,0.586,0.6884,0.59,0.9468,1.0,0.071661,0.464241,0.285931,0.510105,0.456576,0.289133,0.455787,0.627413,0.326241,0.395,0.2061,6
72,0.8693,0.7954,0.9962,0.421,0.7724,0.4674,0.9086,0.8651,0.9762,0.0,0.0,0.0,0.0,0.0,0.0,0.24568,0.387129,1.141778,0.2529,0.8413,1
73,0.515,0.4136,0.4099,0.6444,0.676,0.4211,0.7326,0.4102,0.9983,0.397556,0.107485,0.456757,0.17491,0.568,0.641298,0.289013,0.299389,0.496615,0.4549,0.2501,6
74,0.5222,0.5908,0.5652,0.6312,0.577,0.4618,0.6616,0.5372,1.0,0.391033,0.192785,0.355622,0.194208,0.347469,0.495621,0.475231,0.592189,0.515109,0.4951,0.1224,7
75,0.7752,0.4436,0.5812,0.5253,0.8252,0.5243,0.6651,0.8492,0.9303,0.068494,0.150427,0.141235,0.098555,0.449815,0.240606,0.32891,0.204745,0.96771,0.3627,0.29,5
76,0.4394,0.4936,0.8283,0.6968,0.8766,0.5414,0.615,0.5359,0.6384,0.042034,0.034544,0.053882,0.046787,0.285968,0.295483,0.798585,0.358259,0.30531,0.3647,0.3792,4
77,0.8418,0.814,0.6973,0.5596,0.7559,0.8387,0.5011,0.8399,0.9213,0.018782,0.038802,0.017959,0.09414,0.134558,0.091671,0.187844,0.450101,1.052837,0.2447,0.4596,2
78,0.5935,0.7668,0.7599,0.7822,0.4771,0.6013,0.7893,0.7922,0.5601,0.021046,0.066399,0.119263,0.091114,0.064376,0.257328,0.403054,0.687884,0.521823,0.2141,0.3011,4
79,0.7785,0.9012,0.6567,0.9907,0.9694,0.6393,0.8482,0.897,0.9188,4.3e-05,0.000145,0.000325,0.000269,0.004813,0.154602,0.12617,0.648843,0.960768,0.1876,0.7995,1
80,0.4168,0.5248,0.4943,0.4762,0.585,0.6478,0.5827,0.942,1.0,0.101751,0.550287,0.326698,0.506727,0.480227,0.360611,0.403436,0.49546,0.341945,0.4932,0.2095,6
81,0.5095,0.4,0.4354,0.6196,0.6467,0.4,0.7884,0.4,1.0,0.359047,0.092188,0.553088,0.170954,0.537554,0.601907,0.332701,0.285276,0.496615,0.5524,0.2419,6
82,0.411,0.5347,0.5192,0.4331,0.6247,0.6552,0.5947,0.9363,1.0,0.094367,0.510351,0.315918,0.49561,0.540826,0.2847,0.44963,0.515321,0.326241,0.5046,0.2182,5
83,0.4161,0.5294,0.5135,0.4791,0.62,0.6953,0.6032,0.9626,1.0,0.057207,0.46218,0.295546,0.534509,0.529777,0.353243,0.431923,0.51346,0.341945,0.4841,0.2037,6
84,0.5075,0.5609,0.5249,0.6404,0.6105,0.4412,0.6706,0.5398,1.0,0.400449,0.197427,0.37999,0.184,0.406546,0.552477,0.416508,0.542494,0.496615,0.4644,0.1401,6
85,0.514,0.5834,0.5566,0.6331,0.5941,0.4439,0.6413,0.5944,1.0,0.394708,0.24026,0.346487,0.181261,0.368468,0.509617,0.468501,0.578336,0.496615,0.468,0.1316,7
86,0.4725,0.5813,0.5399,0.6363,0.5746,0.4668,0.6266,0.5443,1.0,0.435281,0.2146,0.348999,0.216164,0.35585,0.546241,0.448903,0.592648,0.425085,0.4788,0.159,6
87,0.5234,0.5918,0.5135,0.5959,0.5768,0.4602,0.6406,0.5523,1.0,0.437789,0.225235,0.369169,0.212417,0.380046,0.478383,0.386513,0.592189,0.515109,0.4662,0.1311,6
88,0.528,0.5689,0.5239,0.6618,0.5629,0.4824,0.649,0.5632,1.0,0.398268,0.213764,0.353466,0.217234,0.329313,0.568001,0.406421,0.552124,0.533823,0.4933,0.1259,6
89,0.4049,0.5453,0.5195,0.4193,0.4914,0.5448,0.5338,0.8377,1.0,0.317395,0.636706,0.336003,0.387898,0.347471,0.268342,0.443653,0.553892,0.310862,0.4981,0.2237,5
90,0.4693,0.4,0.4,0.6374,0.6689,0.4,0.792,0.4,1.0,0.350943,0.090107,0.540603,0.167095,0.571853,0.661589,0.283151,0.292335,0.425085,0.4363,0.2708,6
91,0.4066,0.5417,0.5369,0.4334,0.4862,0.526,0.5463,0.7748,1.0,0.414915,0.55789,0.357702,0.369279,0.342518,0.277991,0.478583,0.533586,0.326241,0.5645,0.2173,6
92,0.5601,0.6564,0.9635,0.9358,0.9088,0.7997,0.4423,0.4036,0.6877,0.001419,0.000536,0.000676,0.003559,0.015228,0.08545,0.702059,0.577037,0.489992,0.1714,0.7701,1
93,0.4,0.5435,0.5785,0.43,0.4768,0.5152,0.5382,0.8123,1.0,0.353192,0.588951,0.338572,0.346289,0.318138,0.268565,0.547487,0.535378,0.310862,0.5133,0.2258,6
94,0.4518,0.4194,0.6956,0.4506,0.4079,0.9977,0.5974,0.8788,0.5752,0.0,0.0,0.0,0.605423,0.163685,0.206503,0.639859,0.261497,0.314751,0.2373,0.6605,2
95,0.4393,0.5202,0.5343,0.4382,0.4542,0.5265,0.5309,0.801,1.0,0.390122,0.614733,0.343864,0.380286,0.293205,0.294228,0.464072,0.491473,0.374301,0.5816,0.2022,6
96,0.5255,0.8528,0.7876,0.9761,0.5163,0.6372,0.4573,0.5253,0.403,0.002068,0.003927,0.003174,0.007295,0.005499,0.214267,0.320313,0.827869,0.431329,0.1576,0.7214,1
97,0.4433,0.5336,0.5319,0.4119,0.4899,0.4933,0.5409,0.8023,1.0,0.391043,0.616185,0.359799,0.322301,0.346666,0.254503,0.460547,0.509328,0.374301,0.4964,0.212,6
98,0.8057,0.6294,0.5882,0.8605,0.6621,0.5421,0.5081,0.4003,0.5868,0.045935,0.022683,0.039487,0.049002,0.090391,0.329895,0.218864,0.302703,0.864554,0.235,0.4311,3
99,0.4036,0.543,0.5218,0.4617,0.4646,0.5058,0.5123,0.8016,1.0,0.398948,0.628641,0.322333,0.351243,0.305177,0.322847,0.447496,0.535378,0.310862,0.5436,0.2137,5
100,0.8773,0.7116,0.4949,0.9738,0.7458,0.4732,0.7643,0.9468,0.7959,0.001084,0.008316,0.010764,0.004941,0.017703,0.245983,0.097858,0.269167,1.022273,0.1711,0.7335,1
