Iteration,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Y,Fitness,Nc
31,4.324,4.2699,3.2149,4.9071,3.3114,4.6578,5.1944,3.4425,2.6834,3.8296,1.0407,1.7383,4.1743,-0.0415,0.2393,16.1609,0.0021,2.4338,1.518,0.8397,2
32,6.7968,5.5586,2.8727,4.3547,3.6314,3.2887,6.2556,3.7075,3.994,0.9852,2.2914,7.286,3.306,0.2087,0.2185,19.5015,0.0614,3.692,0.8713,0.7944,2
33,3.1179,6.5321,2.9382,3.0662,4.5867,2.5559,6.7162,3.312,2.9154,2.5209,1.5856,8.3535,1.774,0.0766,0.8889,14.0671,0.0696,14.2237,1.1469,0.7786,2
34,7.9804,2.6943,4.1852,3.3153,0.4524,3.0435,6.3703,4.3954,7.6716,-0.1362,1.8797,17.1655,9.9315,13.5331,2.593,8.9389,0.0505,3.9273,0.7343,0.8059,0
35,2.0613,6.6577,7.3291,2.3226,2.291,2.7584,7.2395,1.9021,2.5262,30.2368,0.7816,12.8105,2.1836,-0.0229,36.0632,4.4289,0.0671,12.4071,7.2659,0.7419,1
36,2.9286,3.2713,7.0787,4.9627,3.0883,4.7439,3.3249,0.4421,5.568,0.3455,6.7196,0.4481,40.2451,1.1597,1.6823,5.1772,6.7639,3.8471,0.6354,0.7177,0
37,4.8927,5.5347,2.9746,0.1321,2.1677,2.8807,4.1166,1.3496,4.4515,0.3288,1.1889,1.3029,3.5931,3.3216,2.3822,2.0996,0.4019,2.904,0.8444,0.8645,0
38,5.2581,6.3783,3.2746,3.4865,1.8265,4.2464,3.1606,1.9791,6.6671,0.2825,5.6975,0.2652,20.8115,5.9479,0.1482,6.6908,1.2739,1.4868,0.7026,0.7536,0
39,6.5928,5.7912,2.8242,2.5265,2.5802,4.8087,6.0759,4.47,3.5095,5.5107,0.5726,3.9924,2.7041,0.1961,2.5278,15.5903,0.0632,1.956,1.8804,0.833,2
40,3.4202,3.3702,5.4714,2.8685,0.9372,3.5876,4.6383,1.2903,3.6646,2.3179,0.7586,2.1877,5.0477,0.3402,6.489,2.6361,0.1382,2.6862,1.2119,0.8591,1
41,7.0672,2.7112,4.4289,3.1392,3.4913,3.9713,4.2151,4.2277,6.7229,0.2116,2.684,2.4937,17.9961,4.5324,0.4629,7.9825,0.2206,4.8445,0.7514,0.7796,0
42,5.6876,7.2356,6.0726,1.8869,1.8031,4.8485,6.0223,0.9404,5.5749,3.4146,4.5778,4.8244,18.1927,5.1973,19.0178,8.3461,1.6541,3.4825,1.2401,0.6615,1
43,3.1809,3.7509,6.6996,1.9206,1.9873,2.5529,2.1304,2.4728,5.9761,0.3498,1.4134,0.2258,12.6202,2.1065,2.9206,0.4896,0.4596,4.4907,0.8374,0.8619,0
44,5.7296,7.2197,7.3359,4.194,4.7541,2.9542,3.1456,4.4674,5.9457,0.5723,4.7435,0.5547,16.5514,0.1859,1.0944,4.4316,0.3288,6.8726,0.734,0.788,1
45,7.7439,2.398,6.5492,2.0308,4.8324,3.9372,6.8328,4.4434,3.276,1.7549,0.4927,14.8575,3.9485,0.0269,14.0931,9.8582,0.0374,13.1812,0.93,0.7398,1
46,2.9519,5.5083,4.8448,2.5268,4.1525,2.5059,4.4169,3.9148,6.8617,0.5646,4.0183,2.7202,16.3235,5.5599,0.7839,4.9092,0.9987,20.052,0.6695,0.7148,1
47,5.0412,4.1938,5.5991,4.7213,1.1298,4.0738,4.4444,4.1866,2.7398,9.0883,0.2286,1.2521,2.1681,-0.08,2.8852,5.0936,0.0722,1.4902,2.7261,0.8761,1
48,2.0963,7.4455,3.3274,4.6109,0.1743,4.2836,3.4383,4.3434,3.4138,8.3287,0.3916,0.1433,2.5533,-0.0598,0.4522,5.1071,0.0764,1.606,2.5645,0.884,1
49,7.477,7.6129,6.3275,3.9956,3.4787,2.0398,3.7983,1.1117,3.287,1.2922,3.846,1.102,3.331,-0.0976,1.36,3.3181,1.1712,0.9559,0.9548,0.841,1
50,3.0956,2.5406,4.4729,4.3455,3.4726,3.0321,3.1989,3.7417,3.4442,0.1482,0.6619,0.4921,4.2887,-0.0351,0.173,3.6065,0.0004,3.7948,0.9035,0.9106,0
51,4.5166,6.3331,6.8975,4.9765,4.0848,3.2807,6.4235,0.5679,7.8319,0.4621,22.7233,12.1625,52.2845,13.414,2.5376,16.2153,27.6043,21.0277,0.5561,0.4251,4
52,4.8731,2.8297,3.3876,1.3694,0.0013,2.8494,5.4888,1.4236,6.1238,0.0382,1.3033,7.525,6.5564,13.1098,4.567,3.0351,0.4948,3.5974,0.8052,0.8238,0
53,3.7577,7.2374,2.7504,0.7501,1.5384,4.308,3.9716,4.6769,7.549,0.3821,1.8779,0.7231,15.4411,15.2422,1.5306,4.9323,-0.0031,4.6231,0.7094,0.7614,0
54,3.9816,6.2819,4.0926,3.9355,1.9657,4.0652,3.4616,2.8422,3.193,2.7953,0.99,0.2152,3.9532,-0.0408,0.6563,5.0153,0.0067,1.5612,1.3232,0.8715,1
55,6.9469,4.3608,7.1153,4.3644,2.9943,2.3067,6.3638,0.6206,3.5114,2.699,3.4329,13.0336,4.7292,0.0478,6.9202,6.7306,2.2299,4.4967,1.1587,0.7382,1
