Iteration,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Y,Fitness,Nc
31,2.6163,3.4765,1.1574,2.7189,2.4688,1.8917,3.1552,3.0921,1.5243,4.1405,57.5899,1.2822,2.041,12.3625,73.7729,6.459,2.2296,5.0141,0.2103,0.2188,3
32,1.2988,1.2777,2.9392,2.826,2.8532,1.2075,2.0322,1.2087,2.2446,3.363,46.4082,1.1937,1.153,19.1615,90.3895,12.3974,2.1469,5.419,0.2128,0.2286,4
33,3.3655,3.551,3.0498,1.2615,2.9568,2.6409,1.7199,1.4958,3.6253,5.2048,84.3582,0.9118,1.3682,19.6595,71.1754,11.1336,1.4289,3.4872,0.1922,0.2305,4
34,2.4551,1.1261,1.3147,1.001,2.7574,2.6757,2.2758,1.7835,2.5729,2.7301,54.957,1.0749,1.0056,19.6759,92.9343,11.7733,1.5383,3.8192,0.2769,0.2946,3
35,1.4267,2.3689,3.1254,1.5277,1.0192,1.1981,3.0097,1.1692,3.6009,4.7099,11.5123,0.9444,1.345,13.4375,93.1024,14.0265,1.4669,4.0706,0.3137,0.3578,2
36,3.6998,2.3532,2.2486,2.2272,3.9356,1.2991,1.3713,3.2951,2.8466,3.5631,128.2633,1.0616,1.111,20.955,81.6606,4.4035,1.7458,4.5125,0.2954,0.2797,3
37,2.1386,1.5679,1.546,1.4737,3.4508,2.1028,2.9259,1.3852,3.3066,3.1668,71.6123,0.9809,1.1746,15.6404,78.2843,12.3455,1.4853,3.8129,0.2301,0.2565,1
38,2.4381,2.5741,2.8095,1.8481,2.5288,2.5417,1.8766,2.9303,2.5581,3.766,47.4503,1.1476,1.2696,19.2878,93.5259,7.8923,1.6915,4.0149,0.2307,0.2544,2
39,1.149,1.5776,1.1234,2.5056,2.7383,3.3485,1.8255,1.3585,1.7879,2.5395,40.2572,1.1843,1.2134,21.4767,83.5181,12.635,2.1325,4.6006,0.2561,0.2842,4
40,1.14,3.7002,2.0743,2.0241,3.8863,3.2625,1.656,1.4933,3.3242,4.0709,73.5544,1.1388,1.9696,20.7244,52.4335,12.2845,1.7638,3.8597,0.2101,0.2159,3
41,3.3664,3.4737,2.8832,1.6021,3.7218,1.8331,1.4452,3.4496,3.6952,5.9764,109.4783,0.874,1.7461,19.5077,70.5421,4.4729,1.4702,4.0971,0.266,0.2733,4
42,3.8024,3.5471,2.651,3.4294,1.6116,2.4318,1.7333,3.1548,3.061,4.7043,76.7884,1.1456,1.5975,18.8336,73.4589,5.202,2.2,6.223,0.1298,0.1763,2
43,3.5896,1.5449,1.7661,1.6348,1.8318,2.3386,3.8998,3.4428,1.8089,3.9925,70.7931,1.1125,1.7721,8.0188,83.7514,5.5313,1.7121,4.2473,0.2255,0.2886,2
44,1.9736,2.4264,3.1768,3.0566,1.9788,1.6168,3.1722,1.8098,2.9024,4.0171,36.0429,1.2059,1.4132,11.5334,91.3917,11.5376,2.1008,5.4015,0.2066,0.2487,4
45,3.4011,2.2362,3.3281,1.982,1.9191,1.9395,1.9813,2.2635,2.3063,3.8831,60.7603,1.106,0.8129,18.4326,87.4731,9.7389,1.7341,4.1687,0.2045,0.2596,2
46,1.5902,3.3915,2.6932,2.2483,3.5907,1.0878,2.5434,3.3316,2.8267,4.5558,69.604,1.234,2.0539,15.2618,77.6017,6.015,1.8495,4.6872,0.1621,0.1958,2
47,1.9954,3.6748,2.069,3.8006,3.257,2.9314,2.5385,3.2298,3.8987,6.756,72.3207,0.8797,2.2031,15.221,55.6063,5.7626,2.2139,7.0434,0.2257,0.2042,3
48,3.4596,1.8429,3.0146,2.3999,2.3751,3.6735,1.3142,1.3049,2.2768,3.3425,73.5189,1.0998,0.797,21.1451,78.1679,11.3143,1.9519,4.4221,0.2092,0.2534,2
49,2.6568,2.9259,1.5696,3.126,2.0677,1.3968,2.5348,3.0509,1.3654,3.4258,50.2866,1.2787,1.48,16.6396,98.9314,6.6309,2.3874,5.7737,0.2103,0.2177,3
50,2.8617,2.56,3.0646,3.339,2.9687,2.5047,2.321,2.082,3.6931,5.2068,79.004,0.9126,1.0774,16.9022,90.5006,9.2583,2.0626,5.6008,0.1282,0.1705,3
51,3.4683,1.1306,2.9153,2.577,1.2624,1.412,3.2261,3.1989,1.8222,3.9888,60.6116,1.1242,1.3641,11.1298,94.2972,5.822,2.0383,5.3396,0.2166,0.2413,2
52,3.4136,1.7765,1.7887,2.7322,1.4209,2.1269,1.6064,2.2564,2.0787,3.0749,58.4232,1.0769,0.8004,21.675,84.6069,9.1996,2.066,5.0261,0.2287,0.2649,3
53,1.2989,1.5623,3.2143,2.582,2.9076,2.0028,1.4243,3.8605,3.3963,4.8102,47.0426,1.0204,1.764,19.1214,80.6944,4.8207,1.8497,5.4691,0.1819,0.2465,2
54,3.3789,3.6363,3.9656,2.6341,1.213,3.459,3.6773,1.3855,2.0794,5.5919,61.45,1.3142,2.0294,5.5657,63.7296,11.3934,2.1309,4.4685,0.2382,0.2827,5
55,1.2358,3.0008,3.0039,1.7819,2.9555,2.363,2.6611,2.291,1.3567,3.3279,45.0275,1.3346,1.6441,15.1201,94.0224,10.7232,1.9214,3.7988,0.2,0.2511,3
56,3.5847,3.2626,1.088,2.6675,3.5732,1.9358,1.9495,2.376,1.3784,3.1879,116.1648,1.2381,1.2629,19.9816,84.2401,7.5206,2.2082,4.5548,0.2273,0.2143,5
57,1.0495,1.438,3.4622,2.8456,1.6262,3.7354,1.6096,1.1872,2.326,3.6111,18.6036,1.2304,1.2671,19.5273,83.1885,13.224,2.1981,5.307,0.2464,0.302,5
58,2.0309,3.0299,1.5096,1.8176,2.5262,1.3833,2.4828,2.9506,1.3217,3.1483,40.8767,1.2684,1.5949,17.3848,97.2952,8.1672,1.9234,4.2728,0.2067,0.2596,3
59,1.3146,3.541,2.2908,1.4907,2.5414,3.6298,1.5886,3.3815,3.1213,4.3148,31.7171,1.1735,2.2097,19.9987,68.0955,7.0088,1.6393,4.1947,0.2581,0.285,2
60,3.3892,2.769,1.7443,3.7738,2.2569,1.8067,2.7361,3.3735,3.8084,6.0345,77.837,0.8251,1.4524,14.76,95.2801,4.7801,2.1162,7.1371,0.1823,0.2141,3
61,2.0021,1.8617,2.108,3.0616,1.3504,3.5822,1.3428,2.3734,3.5912,4.0616,25.1226,0.9139,1.2146,21.9652,82.045,9.9221,2.0414,5.5466,0.2217,0.2823,3
62,3.8641,2.1415,3.8685,3.46,3.1411,2.3955,2.9018,1.446,3.5776,5.3536,117.8144,0.9584,0.868,11.5878,78.5727,9.7097,2.0801,5.7935,0.2068,0.2198,3
63,2.2131,2.476,2.7808,3.3569,3.6826,2.0659,1.6663,1.6002,3.251,3.7053,87.6052,1.1258,1.1292,20.1287,85.4594,10.7261,2.1568,5.682,0.1523,0.1641,5
64,3.2636,3.7667,3.1516,1.1293,3.8248,2.2785,1.3693,1.4957,1.7537,4.1474,109.9463,1.2404,1.5679,19.8985,44.9339,10.9452,1.7336,3.5458,0.2233,0.2425,4
65,1.2852,3.2069,1.0097,3.351,2.9819,1.6275,3.9789,2.1373,3.3856,5.0918,61.1974,1.2008,2.4009,7.8478,90.189,10.1463,2.1831,5.7808,0.1848,0.2114,6
