Iteration,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,weighted_sum,Fitness,Nc
32,1.6964,2.7501,1.0,4.0,2.1956,3.177,1.0,1.0,1.0,2.682388,39.435621,1.435642,1.401817,22.286421,98.885277,13.100842,2.676871,7.306409,0.6087,0.238,5
33,1.0,2.4677,1.0,4.0,2.9539,3.0192,1.0,1.929,1.3836,2.837096,54.915439,1.373724,1.480485,22.182304,89.736685,11.275334,2.611649,7.348339,0.646,0.185,5
34,1.0,2.8133,1.0,4.0,2.3619,1.8289,1.0,1.9121,2.4776,3.775913,38.439026,1.313521,1.552334,22.201867,98.491831,11.740855,2.412628,7.608546,0.7494,0.1954,6
35,1.0,1.0,1.0,4.0,2.1195,3.5152,1.0,1.0,1.0,2.209054,32.714566,1.399083,1.408264,22.63152,94.479817,13.482402,2.701516,7.826563,0.5893,0.2782,6
36,2.772,2.8144,1.0,4.0,3.5996,2.0167,1.0,2.1592,1.0,2.943759,101.21745,1.404979,1.288302,21.880133,90.652778,9.179527,2.625141,7.336715,0.7772,0.1616,5
37,2.0892,2.8359,1.0,4.0,3.0863,1.915,1.0,2.1361,1.8013,3.611147,69.964267,1.30903,1.418468,21.970496,94.676362,10.005001,2.501746,7.472567,0.6253,0.117,5
38,3.1686,2.9567,1.0,4.0,3.9737,2.8081,1.0,1.5687,1.0,2.897383,123.298319,1.410513,1.252647,21.847196,90.006368,10.318292,2.64121,7.003218,0.6823,0.1668,6
39,3.1908,2.1334,1.0,4.0,3.4765,2.6073,1.0,2.7496,1.0,2.823213,108.987605,1.333614,1.128583,21.782323,77.072829,6.676595,2.599631,7.437793,0.6102,0.2148,4
40,2.6864,3.8142,1.0,4.0,4.0,1.9358,1.0,2.2529,1.0,3.784751,111.219588,1.449802,1.910039,21.09498,37.908658,8.959613,2.686453,7.559241,0.6943,0.198,6
41,2.697,3.0013,1.9471,4.0,3.533,2.0818,1.0,1.6481,1.0,2.926551,96.538068,1.428796,1.339567,21.566085,91.317376,10.580306,2.63362,7.268171,0.6761,0.1556,6
42,1.0,2.5005,1.0,4.0,1.7555,2.6712,1.0,1.9651,3.0222,3.408413,26.508306,1.230109,1.458459,22.369818,95.313689,11.90397,2.321965,7.493539,0.4818,0.2526,5
43,1.0,3.2452,1.0,4.0,4.0,1.6726,1.0,2.3225,1.0,3.262936,88.506941,1.516999,1.890725,21.536397,81.679182,9.797327,2.698175,7.507829,0.6982,0.116,7
44,2.4167,2.8207,1.0,3.318,4.0,1.9151,1.0,1.8418,1.0,2.611059,102.658448,1.392313,1.303408,22.391003,89.10269,10.107398,2.539852,5.568332,0.689,0.1969,6
45,3.441,3.0452,1.0,4.0,3.1065,1.6247,1.0,1.6386,1.0,3.033429,104.398154,1.383408,1.186473,21.995797,94.457173,10.021554,2.617878,7.414231,0.6026,0.1654,6
46,1.0,4.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,3.772747,87.843384,1.529354,2.339869,21.067722,7.460687,12.496125,2.821145,7.772636,0.6961,0.3135,7
47,1.0,2.0138,1.8224,4.0,1.6022,2.5728,1.0,1.0,1.0,2.326607,24.11986,1.408701,1.304688,22.316118,84.485339,13.633236,2.652285,7.591998,0.5916,0.3042,6
48,1.0,3.7694,2.1486,4.0,3.8661,2.9046,1.0,1.3514,1.0,3.504233,83.815478,1.53503,2.140067,20.850657,44.242474,12.087259,2.743069,7.333058,0.6579,0.1813,6
49,1.9877,1.0,1.8608,4.0,4.0,4.0,4.0,1.0,1.0,3.128925,102.280316,1.461034,2.020963,7.263027,70.691646,12.268262,2.704107,7.588025,0.6299,0.232,6
50,2.2179,4.0,1.0,4.0,3.6796,3.6422,1.0,1.7963,1.0,3.851653,91.093946,1.466198,2.120718,21.035284,19.039858,10.592616,2.761613,7.610623,0.5117,0.2662,7
51,1.0,3.9147,2.1339,4.0,2.7567,4.0,1.0,1.0,1.0,3.674927,48.077188,1.522819,2.253601,20.834998,23.037195,12.884926,2.800553,7.882976,0.6877,0.2882,6
52,1.0,1.0,3.6928,4.0,3.8224,4.0,4.0,1.0,1.0,4.000298,89.448347,1.55647,2.186768,4.45475,71.763461,12.649148,2.726598,7.659981,0.6746,0.2577,6
53,2.3402,2.226,1.0,4.0,3.6951,2.3189,1.0,1.4645,1.0,2.520999,94.386518,1.381025,1.138079,22.264821,77.687277,11.282279,2.627284,7.305216,0.5917,0.1993,5
54,1.0,2.7681,4.0,4.0,4.0,1.8809,4.0,2.9375,2.2206,6.042592,96.162613,1.493129,2.474298,2.652472,85.127428,7.525102,2.452228,7.392842,0.6871,0.2932,6
55,2.6113,1.0,3.9001,4.0,4.0,4.0,4.0,1.0,1.0,4.146313,115.983823,1.50487,1.894748,3.795322,70.51819,11.760907,2.688353,7.554378,0.673,0.2686,6
56,1.9162,1.0,3.3693,4.0,3.5641,4.0,4.0,2.3245,1.0,4.027968,88.412077,1.496302,2.13048,4.942554,72.991944,9.499419,2.691383,7.772265,0.6652,0.2479,5
57,1.8122,1.0,3.448,4.0,3.5622,4.0,2.6959,1.1421,1.0,3.237344,80.990042,1.44347,1.393006,13.445278,73.192585,12.178542,2.700957,7.794244,0.7039,0.1527,4
58,1.8778,1.953,4.0,4.0,3.0018,4.0,3.372,1.0,1.0,3.933889,67.516502,1.500229,1.594407,7.401864,61.952063,12.520432,2.693485,7.583924,0.5245,0.2239,4
59,1.8982,1.0,3.0552,4.0,4.0,4.0,3.403,1.0774,2.0022,4.120255,97.6038,1.329683,1.692446,9.3779,69.937246,12.24332,2.526987,7.656166,0.6474,0.1669,5
60,1.0,1.0,2.7342,4.0,4.0,4.0,2.76,1.8551,1.0,2.855291,87.474011,1.460449,1.615549,14.216768,69.868114,11.364939,2.722183,7.803696,0.6379,0.1606,5
61,2.5554,2.9903,1.0,4.0,4.0,2.0151,1.7566,2.4496,1.0,3.19167,107.514158,1.430554,1.424947,19.976233,87.473159,8.482323,2.639203,7.322922,0.6844,0.1416,5
62,2.6915,2.8705,1.0,4.0,4.0,1.2615,1.0,2.8573,1.0,3.268724,111.388615,1.420253,1.481936,21.381408,89.770802,6.774593,2.635048,7.622534,0.6771,0.1634,6
63,1.0,2.3683,1.0,3.2462,2.0787,4.0,1.0,1.0,1.7867,2.900754,28.968677,1.281715,1.411804,22.860653,76.825508,13.084655,2.468015,5.865264,0.6142,0.2724,4
64,1.8029,1.0,3.1746,4.0,3.8963,2.7722,3.8799,1.1294,1.0,3.565584,96.647294,1.480667,1.903876,6.355221,85.789039,12.209497,2.641541,7.334371,0.673,0.2297,6
65,1.7661,1.0,3.1803,2.8478,3.9753,4.0,3.7763,1.0425,1.0,3.155869,91.938358,1.42252,1.880948,7.457953,71.322861,12.134324,2.432891,5.082674,0.5301,0.2515,5
66,2.9472,1.0,2.7971,4.0,3.5349,4.0,2.8768,1.763,1.0,2.968597,103.186918,1.372928,1.257666,13.389514,72.965936,10.256522,2.66536,7.756469,0.5993,0.1788,5
