x1,x2,x3,x4,x5,x6,x7,x8,x9,y1,y2,y3,y4,y5,y6,y7,y8,y9,Fitness,Nc,dy_err1,dy_err2,dy_err3,dy_err4,dy_err5,dy_err6,dy_err7,dy_err8,dy_err9
27,30,30,27,30,30,40,30,20,2.27,3.22,2.5,2.46,3.06,2.94,3.28,0.76,1.88,0.195332,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5769,0.103
27.0,30.0,30.0,27.0,30.0,32.5701,40.0,30.0,29.1368,2.21,3.17,2.39,2.45,2.53,2.61,3.41,1.52,2.67,0.052023,6,0.0,0.0084,0.0055,0.0,0.0,0.0,0.0,0.1557,0.0
27.0,30.0,29.3561,26.9171,30.0,31.5599,39.3148,30.0,29.8897,2.17,3.18,2.49,2.47,2.53,2.51,3.34,1.7,2.53,0.019015,7,0.0,0.0072,0.0,0.0,0.0,0.0,0.0,0.0566,0.0
27.0,30.0,29.2199,26.8361,30.0,31.4626,39.3915,30.0,30.4896,2.16,3.2,2.5,2.47,2.5,2.49,3.35,1.8,2.55,0.001527,6,0.0,0.0015,0.0,0.0,0.0002,0.0043,0.0,0.0,0.0
26.8851,30.0,29.108,26.7604,30.0,31.4626,39.1541,29.2695,28.1533,2.16,3.21,2.43,2.46,2.65,2.62,3.3,1.46,2.31,0.063872,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1916,0.0
26.8851,30.0,29.108,26.7604,30.0,30.4372,39.1541,29.2695,31.4766,2.19,3.22,2.47,2.46,2.49,2.46,3.33,2.03,2.37,0.006228,7,0.0,0.0,0.0,0.0,0.006,0.0177,0.0,0.0,0.0
26.7756,30.0,29.108,26.7604,30.0,30.4372,38.8508,28.5786,28.896,2.2,3.21,2.41,2.45,2.64,2.6,3.26,1.65,2.14,0.027979,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0839,0.0
26.7756,30.0,29.108,26.7604,30.0,30.3616,38.8508,28.5786,29.6311,2.2,3.21,2.41,2.45,2.6,2.56,3.27,1.77,2.17,0.005584,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0168,0.0
26.7756,30.0,29.108,26.7604,30.0,30.3058,38.8508,28.5786,30.2376,2.2,3.21,2.41,2.45,2.57,2.53,3.28,1.87,2.2,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
