Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
40,1,3.7,7.5,1.9,2.1514,1.4,0.5,30,2.5,36.2639,21.0371,21.7242,19.5535,2.6103,62.961,41.6347,25.6224,57.4899,0.2179,6
41,1,3.7,7.5,1.9,2.1514,1.4,0.5,30,2.5,36.2639,21.0371,21.7242,19.5535,2.6103,62.961,41.6347,25.6224,57.4899,0.2179,6
42,1,3.7,7.5,1.9,2.1514,1.4,0.5,30,2.5,36.2639,21.0371,21.7242,19.5535,2.6103,62.961,41.6347,25.6224,57.4899,0.2179,6
43,1,3.7,7.5,1.9,2.1514,1.4,0.5,30,2.5,36.2639,21.0371,21.7242,19.5535,2.6103,62.961,41.6347,25.6224,57.4899,0.2179,6
44,2.0945,3.288,11.3158,1.82,2.335,1.2982,0.2115,11.8434,1.912,32.1698,21.8995,20.399,16.5718,14.309,55.5245,31.7592,24.504,47.0118,0.1006,1
45,1.2859,3.7,14.6386,1.8818,2.1445,1.3222,0.4935,27.2225,2.4216,33.9189,16.1333,24.7011,18.9527,4.4317,57.9566,40.2974,27.3424,53.1824,0.1705,5
46,1,3.1261,13.4828,1.9,2.4,1.4,0.2,6,2.4664,36.4479,20.7411,23.0105,16.5022,7.9624,74.7237,32.9517,27.4434,56.2102,0.0828,5
47,3.2155,3.1,7.5,1.6,2.4,1.4,0.2407,6,2.5,40.6288,22.3218,18.8033,15.3602,11.0803,59.9425,31.9551,23.0284,49.1687,0.115,2
48,1,3.1743,12.0451,1.7532,2.2613,1.4,0.2,20.0583,2.0008,31.5343,35.9293,20.9968,16.5445,15.2693,60.9068,33.9364,24.3362,51.0058,0.0707,4
49,2.5281,3.1,15,1.8137,2.2065,1.4,0.5,11.9212,2.5,39.9543,30.5437,22.15,15.8866,3.2982,55.5083,37.3259,26.8462,52.3676,0.1846,4
50,2.5281,3.1,15,1.8137,2.2065,1.4,0.5,11.9212,2.5,39.9543,30.5437,22.15,15.8866,3.2982,55.5083,37.3259,26.8462,52.3676,0.1846,4
51,1.473,3.2394,9.9664,1.8218,2.3884,1.4,0.207,28.2133,2.4833,36.5523,19.289,21.55,16.8838,9.0058,65.2699,38.6913,25.5945,54.9489,0.086,5
52,2.5,3.3551,14.9978,1.813,2.25,0.9508,0.498,18,2.4853,31.5511,16.9342,23.0838,16.4558,8.1482,53.1858,38.4758,26.5467,41.3241,0.1339,2
53,3.3893,3.144,7.7687,1.8319,2.3147,1.3578,0.485,7.5968,2.5,42.4209,21.8723,18.6089,15.5661,1.6273,54.3945,37.6538,24.7202,49.9105,0.2756,1
54,2.5,3.116,10.6576,1.8372,2.3835,1.3384,0.35,18,2.3899,37.6688,18.6223,20.4271,15.8093,7.3911,56.8,34.2246,25.4585,50.142,0.1154,4
55,1.0081,3.675,10.5469,1.7621,2.219,1.355,0.3051,15.523,2.4946,32.2658,18.4996,22.9601,18.8811,10.7962,67.2272,35.408,25.051,54.018,0.0946,5
56,2.5,3.1087,7.5,1.8978,2.4,0.95,0.4865,6,2.5,35.2526,16.5261,19.5542,15.5654,5.9522,62.5303,39.9342,25.2384,42.2388,0.1542,4
57,1.4166,3.1,7.5,1.9,2.4,1.204,0.4347,10.9707,2.5,35.9926,19.7344,20.2875,16.1483,6.4016,68.3832,36.7183,25.4927,49.3062,0.0999,3
58,2.0451,3.4711,7.5,1.8157,2.2718,1.4,0.2,6,1.7842,33.4482,24.8922,19.0618,17.7307,13.8279,57.3627,32.1964,23.3482,50.6286,0.094,2
59,4,3.1,7.5,1.6,2.4,1.4,0.5,6,2.5,46.8034,13.8601,18.0504,14.9813,2.9942,51.8164,38.4754,22.9453,46.7968,0.2678,1
60,1,3.4595,7.5,1.6,2.3014,1.4,0.5,6,2.5,39.9966,16.0743,21.1895,18.0293,10.1316,71.0342,41.004,23.1237,52.0473,0.1277,6
61,1,3.4595,7.5,1.6,2.3014,1.4,0.5,6,2.5,39.9966,16.0743,21.1895,18.0293,10.1316,71.0342,41.004,23.1237,52.0473,0.1277,6
62,2.6028,3.5685,7.5,1.648,2.2093,1.4,0.2,6,2.5,35.6812,26.4016,20.0701,17.8423,12.3594,61.6917,32.8391,23.2097,52.3482,0.0796,5
63,2.6028,3.5685,7.5,1.648,2.2093,1.4,0.2,6,2.5,35.6812,26.4016,20.0701,17.8423,12.3594,61.6917,32.8391,23.2097,52.3482,0.0796,5
64,4,3.1,7.5,1.6,2.4,1.4,0.5,6,2.5,46.8034,13.8601,18.0504,14.9813,2.9942,51.8164,38.4754,22.9453,46.7968,0.2678,1
65,2.3223,3.4233,8.3214,1.8629,2.2911,1.3858,0.4503,9.4668,1.8332,37.4172,16.5712,19.13,17.398,8.3179,51.9942,36.6502,23.9665,49.3522,0.1411,2
66,1,3.4988,7.9556,1.7994,2.4,1.4,0.2614,19.7834,2.2098,35.4102,9.3947,21.2602,18.3001,11.5997,66.0466,36.295,24.426,53.8044,0.2129,5
67,1,3.4988,7.9556,1.7994,2.4,1.4,0.2614,19.7834,2.2098,35.4102,9.3947,21.2602,18.3001,11.5997,66.0466,36.295,24.426,53.8044,0.2129,5
68,1.5704,3.3842,8.9869,1.8841,2.3357,1.0548,0.3666,12.4634,2.1489,29.0814,16.6996,20.5791,17.1028,12.3862,60.6115,34.5654,24.7762,43.6328,0.1427,2
69,1,3.1,7.5,1.7486,2.4,1.0878,0.2235,24.7716,2.3981,29.007,27.0069,20.2498,16.0217,16.7602,67.3822,35.1504,23.8795,44.1357,0.0964,3
70,1,3.1,15,1.9,2.4,1.4,0.5,30,2.5,40.8046,12.1512,23.8691,16.6628,2.5649,65.0267,40.3312,28.1531,55.1623,0.2731,5
71,1.5815,3.5744,10.7619,1.7939,2.2976,1.2185,0.3851,21.2556,1.8912,30.5932,11.5429,21.3451,18.0918,13.9773,53.2633,36.3464,24.0642,45.028,0.1945,2
72,1.4649,3.61,7.928,1.8491,2.3482,1.3843,0.2305,27.3741,2.1054,34.0429,10.415,21.0273,18.788,11.0279,59.5266,39.1735,24.5854,53.4654,0.1989,5
73,1.4649,3.61,7.928,1.8491,2.3482,1.3843,0.2305,27.3741,2.1054,34.0429,10.415,21.0273,18.788,11.0279,59.5266,39.1735,24.5854,53.4654,0.1989,5
74,1.4649,3.61,7.928,1.8491,2.3482,1.3843,0.2305,27.3741,2.1054,34.0429,10.415,21.0273,18.788,11.0279,59.5266,39.1735,24.5854,53.4654,0.1989,5
