Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Fitness,Nc
86,3.5839,3.6478,9.7941,1.7437,2.2545,0.5599,0.4258,25.9936,2.3658,27.1406,10.0425,20.0967,16.9462,12.832,45.9817,38.5214,23.6819,32.7102,0.7782,1
87,3.8225,3.1641,8.4776,1.8075,2.2428,0.7578,0.2511,23.1085,1.4587,22.8881,36.034,16.3096,14.6445,18.6407,34.9047,31.1173,22.1628,29.4813,0.8008,2
88,1.9277,3.4728,13.1683,1.8968,2.2865,1.1609,0.2261,18.6341,0.8147,25.2369,19.042,20.4994,17.3303,19.0328,43.7391,32.5708,24.3445,40.2472,0.5341,1
89,3.5218,3.1695,7.7982,1.8943,2.1463,0.6216,0.2477,14.903,1.4795,19.603,47.3097,16.1054,14.7756,19.1551,39.5357,28.1898,22.6717,29.845,0.827,2
90,3.204,3.4913,13.0887,1.666,2.2905,0.7772,0.3956,7.4349,1.959,27.2097,11.8898,20.7946,16.3356,18.2007,47.0653,34.5686,23.3077,31.8857,0.7325,1
91,1.677,3.5463,8.1832,1.6808,2.1625,0.5627,0.4544,20.6597,1.4566,20.4754,29.2952,18.9608,17.4571,23.3474,48.2924,37.7498,21.1756,29.7034,0.6561,2
92,2.7763,3.4539,13.7587,1.8358,2.2346,0.9816,0.2718,21.8925,1.4266,23.7841,22.2085,20.4681,16.6231,18.9284,39.6903,32.6666,24.273,35.8176,0.5937,1
93,3.75,3.407,12.1521,1.8482,2.1117,0.5075,0.2694,13.9901,0.8385,17.5691,38.0062,17.4671,15.4209,22.2272,32.6576,28.4421,22.6677,25.3902,0.9274,2
94,1.046,3.4973,10.1447,1.8392,2.3023,1.2037,0.3912,14.2494,1.8367,29.7277,15.4425,21.0269,17.8845,13.9336,58.6479,35.3392,24.1926,45.3591,0.4431,1
95,3.6944,3.1389,14.2302,1.6146,2.3633,1.0973,0.2951,29.7637,1.564,30.4667,18.4167,19.5201,14.9592,18.327,34.4086,35.7067,22.9214,34.097,0.6638,1
96,3.4508,3.1361,14.7344,1.8272,2.316,0.7431,0.2749,24.4637,2.4175,26.6364,23.2415,21.4777,14.8777,12.8456,48.3346,33.3349,26.3484,35.8746,0.4814,2
97,3.6356,3.3566,9.5596,1.8745,2.1806,1.029,0.3501,17.0245,2.1352,28.3296,30.4751,18.3199,15.7898,9.6265,42.2801,31.8752,24.2296,39.6082,0.5135,2
98,2.9722,3.3189,8.5195,1.6736,2.3538,1.1438,0.4254,15.9835,1.1604,31.8993,14.9576,17.4723,16.1661,18.4562,38.7015,34.4623,21.1851,35.2004,0.7071,1
99,3.4734,3.3587,13.2543,1.7803,2.3231,1.1076,0.4682,15.1047,0.7581,31.7654,10.7245,18.7491,15.9788,14.8925,31.3146,35.2949,22.976,33.7095,0.8609,1
100,1.9257,3.4819,10.6195,1.6825,2.1489,1.1548,0.4058,25.6075,1.0862,25.5492,31.1383,19.0775,17.3227,21.0936,39.9795,36.0611,21.5148,37.4424,0.5521,2
