x1,x2,x3,x4,x5,x6,x7,x8,x9,y1,y2,y3,y4,y5,y6,y7,y8,y9,Fitness,Nc,dy_err1,dy_err2,dy_err3,dy_err4,dy_err5,dy_err6,dy_err7,dy_err8,dy_err9
40,40,40,40,40,40,40,40,40,37.57,21.01,31.6,34.06,11.39,60.14,5.55,33.87,29.82,0.353888,1,0.1651,0.4165,0.4254,0.0538,0.6203,0.1981,0.5376,0.0,0.1716
53.21,81.0,79.68,80.39,0.63,0.0,81.0,81.0,8.8,42.08,37.03,61.35,28.6,30.46,99.3,13.4,27.15,38.21,0.078525,6,0.0649,0.0,0.0,0.2055,0.0,0.0,0.0,0.0951,0.0
50.9725,81.0,74.3452,74.0018,10.0416,0.0,81.0,81.0,6.5505,49.14,33.58,57.51,30.37,30.3,99.9,13.28,28.41,36.91,0.05939,6,0.0,0.0673,0.0,0.1563,0.0,0.0,0.0,0.0529,0.0
27.2045,81.0,43.935,43.9374,6.9588,38.3937,81.0,81.0,1.9299,42.61,34.13,51.45,36.86,31.55,84.21,12.55,35.32,36.62,0.032796,6,0.053,0.0519,0.0646,0.0,0.0,0.0,0.0,0.0,0.0
27.2045,81.0,46.9722,46.1454,14.7988,41.9297,81.0,81.0,1.9299,46.11,36.53,50.91,36.13,31.75,82.12,12.67,34.44,33.98,0.031045,7,0.0,0.0,0.0744,0.0,0.0,0.0,0.0,0.0,0.056
27.2045,81.0,49.7974,46.1454,11.3333,36.8201,81.0,81.0,1.9299,45.39,33.99,51.76,36.38,31.41,84.11,12.36,34.25,35.24,0.027929,6,0.0,0.0557,0.059,0.0,0.0,0.0,0.0,0.0,0.021
27.2045,81.0,64.9867,51.8122,6.0894,49.7583,81.0,81.0,1.9299,45.04,42.88,59.27,35.25,32.41,76.09,12.45,31.22,36.04,0.006903,8,0.0,0.0,0.0,0.0207,0.0,0.0,0.0,0.0,0.0
27.2045,81.0,64.9867,38.1424,5.951,49.7583,81.0,81.0,1.5265,46.0,39.45,57.63,37.49,32.36,77.18,12.46,31.09,36.56,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
