Iteration,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,weighted_sum,Fitness,Nc
31,0.8522,0.1025,0.7852,0.8639,0.861,0.7465,0.5984,0.7171,0.1035,2.01505,0.995862,1.998998,-0.011533,2.01152,0.046774,1.58868,0.097711,0.893995,0.6253,0.5838,4
32,0.3378,0.3862,0.7727,0.3083,0.6487,0.6115,0.6756,0.7586,0.9555,0.905631,0.929794,1.915041,1.009971,1.668198,0.428756,1.747166,0.096471,1.824562,0.7264,0.4383,4
33,0.7854,0.4734,0.4689,0.9074,0.1179,0.4676,0.1197,0.3003,0.4365,1.266368,1.362671,0.422347,0.711454,0.080664,1.362671,0.080664,1.575699,0.346423,0.5634,0.5914,1
34,0.8293,0.4212,0.4469,0.6011,0.965,0.6919,0.0009,0.6242,0.6347,1.843535,0.982325,0.976312,0.558967,1.694133,0.328587,0.701065,0.504475,1.498437,0.2841,0.4569,3
35,0.1568,0.4645,0.2567,0.1114,0.1698,0.0915,0.7364,0.6034,0.1172,-1.041006,2.124514,-1.016357,2.332946,-1.040196,2.333048,0.182373,1.821436,-1.042656,0.6271,1.1791,4
36,0.2223,0.0341,0.6683,0.6739,0.6721,0.4741,0.7083,0.2576,0.7547,0.310128,1.453043,1.241296,0.7052,1.241296,1.20052,1.339979,1.435499,1.415709,0.6029,0.3265,1
37,0.0524,0.8694,0.1002,0.9463,0.2274,0.9199,0.4326,0.0378,0.5164,0.093082,0.666689,0.093215,0.757627,0.106148,0.713676,0.335866,1.601522,0.580013,0.6886,0.6943,1
38,0.2394,0.547,0.6101,0.2723,0.653,0.7501,0.1738,0.6812,0.0973,0.051239,1.21286,0.81583,1.621646,0.940176,0.761313,0.037537,0.888625,0.035033,0.5657,0.6279,1
39,0.0927,0.6616,0.146,0.2312,0.2839,0.7379,0.0192,0.0876,0.844,-0.66647,1.436369,-0.66514,2.096515,-0.629073,1.286525,-0.666549,2.105141,0.614192,0.6306,0.9883,2
40,0.8599,0.1053,0.4689,0.743,0.9567,0.1989,0.2188,0.8298,0.8749,1.859622,1.130667,1.048538,0.21114,1.735771,1.126154,0.734801,0.133176,1.854292,0.5651,0.4682,3
41,0.8065,0.5138,0.4993,0.4619,0.6539,0.5934,0.1145,0.6388,0.7895,1.772084,0.856304,1.03494,0.967509,1.488092,0.64714,0.627885,0.512773,1.75928,0.6446,0.3953,3
42,0.9602,0.1549,0.1152,0.3668,0.3359,0.8565,0.9495,0.901,0.1663,1.535193,1.299867,0.505013,1.205327,0.590129,0.32745,1.554254,0.357305,0.507181,0.904,0.517,2
43,0.9417,0.2203,0.1017,0.7244,0.5009,0.8604,0.5911,0.5503,0.908,1.827205,1.074885,0.786016,0.19306,1.187501,0.084867,1.456843,0.624398,1.87136,0.6939,0.5024,3
44,0.5913,0.4153,0.8979,0.9715,0.6427,0.4791,0.4706,0.0002,0.9995,1.491273,0.884347,1.916217,0.191363,1.640108,0.767297,1.143274,1.053448,1.740013,0.7008,0.3722,4
45,0.6559,0.1982,0.8653,0.785,0.3237,0.7338,0.2337,0.9109,0.9391,1.769325,0.984104,2.014142,-0.006881,0.964953,0.07146,0.914798,0.023156,1.933095,0.4779,0.5994,3
46,0.9869,0.3352,0.7652,0.2766,0.0329,0.7591,0.3826,0.6325,0.1178,1.202534,1.453908,1.363373,1.492289,0.211077,0.610117,0.354857,0.873391,0.211455,0.6537,0.533,2
47,0.5789,0.9651,0.9524,0.4851,0.2371,0.8672,0.6246,0.0077,0.9699,1.556621,0.10119,1.93562,0.659537,0.939457,-0.033794,1.67682,0.971201,1.897775,0.4917,0.521,4
48,0.7327,0.9431,0.6221,0.858,0.2004,0.3116,0.336,0.0184,0.183,1.244737,0.697544,0.954879,0.617114,0.156024,1.520339,0.237889,1.561349,0.153328,0.6338,0.5803,2
49,0.8221,0.706,0.1113,0.3276,0.5669,0.6797,0.1657,0.0341,0.0197,0.86843,1.13546,-0.381284,1.870752,0.29131,1.195064,-0.378794,1.923451,-0.381526,0.5602,0.7929,2
50,0.0248,0.3783,0.2377,0.5273,0.8733,0.6864,0.7427,0.7171,0.9162,0.652415,1.078747,0.667913,0.786622,1.789,0.370051,1.718564,0.308412,1.737334,0.6383,0.4764,3
51,0.0651,0.8695,0.3998,0.8921,0.5691,0.9506,0.1233,0.7256,0.2072,0.499378,0.336973,0.673838,0.351945,1.124328,0.431123,0.49973,0.419593,0.507219,0.4885,0.6481,0
52,0.5455,0.2769,0.5248,0.6157,0.7288,0.5527,0.5316,0.7532,0.6703,1.248761,1.127126,1.158517,0.50852,1.740726,0.698747,1.188146,0.220781,1.605729,0.6524,0.4151,2
53,0.6834,0.9551,0.4065,0.8183,0.6191,0.6646,0.6708,0.2347,0.5741,1.808596,0.113176,1.076253,-0.011136,1.644337,0.237032,1.783412,0.989632,1.493247,0.6839,0.551,4
54,0.7305,0.399,0.9527,0.147,0.2631,0.0581,0.691,0.0639,0.6408,1.092348,1.551064,1.079205,1.678318,0.00648,1.679239,1.0021,1.679239,0.860951,0.39,0.3913,4
55,0.7028,0.7084,0.9098,0.1683,0.4241,0.5903,0.6735,0.569,0.8369,1.839426,0.137053,1.948984,1.011812,1.078266,0.441924,1.767184,0.497406,1.997024,0.667,0.4585,4
56,0.0504,0.3943,0.0152,0.417,0.3031,0.0582,0.6751,0.0185,0.9295,-0.88128,2.129499,-0.881283,2.090064,-0.828008,2.236793,0.18432,2.236798,0.333337,0.5815,0.9996,4
57,0.4418,0.2802,0.9376,0.1805,0.0545,0.0939,0.1705,0.7886,0.6939,0.036758,1.803447,0.899794,1.82524,-0.236453,1.827647,-0.233754,0.924644,0.802317,0.6886,0.6771,3
58,0.778,0.9901,0.7643,0.9823,0.4251,0.3907,0.9528,0.9388,0.0474,2.227099,-0.069233,2.204614,-0.090581,1.377935,0.650129,2.146899,-0.166434,1.156841,0.5413,0.6512,3
59,0.2227,0.8353,0.2604,0.2851,0.7144,0.5636,0.3164,0.9727,0.3463,0.350344,0.458807,0.364066,1.393315,1.376652,0.956893,0.405676,0.597114,0.439081,0.541,0.5844,0
60,0.3945,0.322,0.8356,0.6653,0.2544,0.4677,0.1482,0.5043,0.7074,0.371796,1.469544,1.40308,0.775255,0.230896,1.266842,0.212388,1.202391,1.259024,0.5311,0.502,1
61,0.9082,0.897,0.1759,0.4364,0.7832,0.866,0.7344,0.9888,0.611,2.254505,-0.27314,1.21334,0.520419,2.275098,-0.299534,2.207092,-0.118932,1.914326,0.5906,0.7053,4
62,0.1236,0.7612,0.779,0.6231,0.7892,0.9749,0.1632,0.5726,0.0098,0.483801,0.388056,1.620159,0.683916,1.629402,0.480155,0.485258,0.817884,0.483431,0.6501,0.5562,2
63,0.6726,0.862,0.9452,0.8961,0.8826,0.2975,0.236,0.9582,0.5758,2.053907,-0.279746,2.171255,-0.248017,2.260267,0.716348,1.198416,-0.155708,1.80113,0.5625,0.6918,4
64,0.365,0.9637,0.9176,0.8442,0.4059,0.9934,0.1008,0.851,0.9272,1.295242,-0.162842,2.22464,-0.292442,1.372937,-0.101276,1.19136,-0.290605,2.210431,0.5321,0.7683,2
65,0.5154,0.0005,0.8781,0.5011,0.6489,0.078,0.1107,0.6659,0.812,0.646274,1.552509,1.340465,1.238741,1.057816,1.552482,0.162398,0.813369,1.353433,0.6887,0.3934,2
66,0.848,0.4571,0.8157,0.3959,0.4942,0.4008,0.0786,0.4793,0.3158,1.401188,1.286689,1.401208,1.386789,0.604439,1.386789,0.211114,1.246151,0.277297,0.6489,0.4426,0
67,0.0727,0.1168,0.9749,0.8509,0.809,0.02,0.7142,0.1323,0.2798,-0.004743,1.669704,1.050343,0.734616,1.203304,1.669971,1.062373,1.669553,0.030758,0.7034,0.5147,3
68,0.5403,0.3097,0.61,0.3779,0.519,0.5023,0.2749,0.387,0.8394,0.789808,1.450145,1.014141,1.386442,0.727691,1.17546,0.276116,1.373894,1.43542,0.5878,0.3715,1
