Iteration,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Y,Fitness,Nc
33,0.0705,0.6381,0.3319,0.4751,0.8088,0.0248,0.4451,0.0723,0.9803,-0.0793,1.0681,-0.001,1.4566,1.1362,1.7214,0.2149,1.7214,0.9599,0.456,0.584,3
34,0.5265,0.1373,0.0812,0.8273,0.6261,0.0692,0.9162,0.6319,0.1605,0.5367,1.6555,0.0152,0.7176,0.8609,1.6561,1.161,1.0226,0.0171,0.4774,0.5676,2
35,0.4636,0.8438,0.0928,0.6072,0.3866,0.8993,0.7943,0.8374,0.6894,1.1795,-0.0089,0.8852,0.3749,1.0366,0.0273,1.9911,-0.0089,1.8286,0.5812,0.6502,2
36,0.368,0.4712,0.0968,0.3463,0.0596,0.0458,0.3553,0.2231,0.3724,-1.3065,2.3469,-1.4524,2.5029,-1.4526,2.5665,-1.3231,2.56,-1.3065,1.3998,1.4491,4
37,0.1966,0.7427,0.9837,0.2939,0.6132,0.0148,0.0499,0.7158,0.2747,-0.0592,0.8525,0.9725,1.6828,0.7219,1.712,-0.0656,0.8852,-0.0358,0.565,0.659,2
38,0.1488,0.8854,0.6957,0.4137,0.5097,0.2493,0.9713,0.0188,0.5752,0.3186,0.5023,1.3331,1.294,0.765,1.4259,1.3441,1.4404,0.9842,0.2791,0.3924,0
39,0.789,0.3589,0.8389,0.9267,0.1208,0.7717,0.7139,0.9761,0.9559,2.3006,0.6258,2.3179,-0.2506,1.2291,-0.2898,2.1863,-0.158,2.1944,0.7121,0.6985,4
40,0.274,0.291,0.79,0.1383,0.3751,0.3448,0.2674,0.2268,0.0382,-0.9694,2.2815,0.2922,2.308,-0.843,2.251,-0.9694,2.3002,-1.0016,1.0791,1.1336,4
41,0.0323,0.2596,0.1284,0.7136,0.8734,0.5506,0.8646,0.7529,0.8053,0.5824,1.2236,0.5829,0.3871,1.726,0.7915,1.7314,0.3183,1.7313,0.4332,0.4822,3
42,0.3536,0.7848,0.5669,0.9036,0.8238,0.2422,0.9629,0.2741,0.8333,1.0268,-0.0254,1.5344,-0.0159,2.0502,0.9518,1.9251,0.9418,2.052,0.4699,0.5146,4
43,0.6402,0.5646,0.9534,0.8051,0.7766,0.4613,0.8818,0.8058,0.6597,2.0474,0.1806,2.2424,-0.3547,2.3219,0.4339,2.3308,-0.3547,2.1006,0.7424,0.6957,5
44,0.376,0.7864,0.8141,0.4476,0.4912,0.2702,0.7132,0.6457,0.3156,0.6707,0.3175,1.685,1.0632,0.9136,1.2593,1.5504,0.5673,0.5953,0.3907,0.4524,2
