Iteration,X1,X2,X3,X4,X5,X6,X7,X8,X9,F1,F2,F3,F4,F5,F6,F7,F8,F9,Y,Fitness,Nc
31,32.7488,27.2844,24.5694,21.4165,34.1205,35.6873,35.9524,26.1064,30.6421,1.4201,3.2829,2.1108,3.392,2.1954,2.3665,3.2479,2.1184,2.0725,0.1547,0.1235,4
32,39.8655,23.8099,26.9329,21.9361,37.8532,36.4509,36.5025,21.1826,20.0048,1.2199,3.0273,1.7349,4.5541,2.2987,2.9287,3.1117,1.4199,1.4108,0.2932,0.2147,2
33,44.5405,23.5598,20.7977,22.7864,38.1177,32.6297,35.4905,26.9344,32.7147,1.1831,3.2574,2.183,4.8529,1.6678,2.0648,3.0581,2.7142,1.7152,0.3326,0.2043,3
34,37.3493,29.6162,32.8268,26.5016,35.0126,29.239,36.7085,25.6823,21.3527,1.9808,2.6925,1.9706,3.8765,2.5003,2.9918,2.8878,1.0565,0.9797,0.2664,0.2415,3
35,28.2444,29.2763,32.4801,23.1285,30.6935,34.6946,35.0535,25.3719,31.7711,2.4362,2.8345,1.9464,2.4738,2.4826,2.3748,3.0751,2.1886,2.1515,0.1027,0.0766,4
36,32.4674,20.4216,34.7003,26.5577,34.4805,32.3518,38.8408,27.9603,31.6241,2.7289,2.8071,1.7756,3.2064,1.9783,1.9886,3.3007,2.3016,2.2459,0.2148,0.1367,5
37,26.4634,21.7018,29.9515,28.9503,36.1403,37.5638,32.3967,20.8362,32.8086,2.1797,1.9071,1.8567,2.041,2.455,2.0711,2.3308,2.6869,2.237,0.1955,0.1895,3
38,40.3037,29.6997,21.7132,20.8817,35.1377,32.7777,39.7828,20.8229,28.8518,1.1049,3.8922,2.0683,4.5323,1.8968,3.1952,3.7226,2.2346,1.6927,0.3341,0.1942,5
39,37.4211,24.499,27.0573,29.6947,33.0429,34.5438,38.4422,23.6763,28.276,1.5492,3.0306,1.8118,3.5973,2.1384,2.7167,3.1294,1.8505,2.0037,0.1692,0.1313,3
40,42.3452,20.4879,24.934,21.9308,35.07,26.462,33.4901,22.1494,29.2349,1.512,2.9799,2.3758,4.1665,2.0336,2.2125,2.8369,2.862,0.871,0.3159,0.2325,2
41,27.3126,22.4405,29.4114,20.0039,35.5658,33.4768,37.4296,29.0752,28.4225,2.1543,3.1935,2.1534,2.9919,2.3479,2.0292,3.4601,1.7594,2.0822,0.0947,0.0748,3
42,30.6658,20.4373,24.9687,20.9802,37.7019,37.2132,31.3281,23.0941,21.8439,1.584,2.4625,2.0094,2.8376,2.7646,2.3272,2.5086,1.3792,1.3905,0.2102,0.2001,2
43,33.3973,26.1278,21.5454,26.1765,39.2748,29.7753,35.2926,29.6158,20.8437,1.4384,2.9239,2.6579,3.8142,2.6761,2.487,2.5479,1.0706,1.1493,0.2644,0.2398,3
44,33.7542,25.482,27.1038,20.2798,34.1977,27.6161,38.6151,25.7773,32.4179,1.7776,3.6209,2.2034,3.647,1.9838,2.3619,3.6283,2.7965,1.5004,0.2511,0.1323,4
45,30.8865,20.2501,25.1225,20.1045,39.0639,35.5479,33.9562,29.0095,20.8692,1.5507,2.8051,2.2384,3.4552,2.6005,2.0278,2.8342,1.0303,1.6185,0.2248,0.2034,2
46,43.6662,23.2745,34.1018,22.0136,33.4948,25.2563,39.3886,22.4024,21.4434,2.3898,3.3503,1.8046,4.4686,2.2138,3.0349,3.5561,1.8767,0.8925,0.2802,0.2122,6
47,34.9202,23.9193,22.7479,29.5066,35.23,27.7519,38.8117,29.3682,31.4669,1.6002,3.2448,2.5803,3.5882,2.0406,2.1855,3.0955,2.4165,1.9061,0.1928,0.1134,4
48,37.4767,20.2079,32.6088,22.4702,32.7324,33.0066,37.2612,20.5898,29.4489,2.3343,3.0754,1.7434,3.7759,2.0038,2.4038,3.3882,2.5492,1.7863,0.2224,0.1245,4
